URI	Count
http://vgibox.eu/Discrete_Field	4
http://vgibox.eu/GIS	4
http://vgibox.eu/Geographic_coordinate_system	4
http://vgibox.eu/Geoid	4
http://vgibox.eu/Image_characteristic	4
http://vgibox.eu/Map_design	4
http://vgibox.eu/Map_projection	4
http://vgibox.eu/Network	4
http://vgibox.eu/Preliminary_interpretation	4
http://vgibox.eu/Raster	4
http://vgibox.eu/Selection_by_attributes	4
http://vgibox.eu/Selection_of_records	4
http://vgibox.eu/Spatial_data	4
http://vgibox.eu/Training_set	4
http://vgibox.eu/Attribute_quality	5
http://vgibox.eu/Electro_magnetic_radiation	5
http://vgibox.eu/Image	5
http://vgibox.eu/Positional_quality	6
